Return Path
Start at ID: 122528351
Go Northwest 43.688 meters, to 497922502
Go Northwest 109.496 meters, to 497334166
Go Northwest 20.9889 meters, to 429544636
Go Northwest 103.878 meters, to 429544144
Go Northwest 27.1937 meters, to 1105954956
Go Northwest 46.1923 meters, to 429544145
Go Northwest 82.9316 meters, to 429542198
Go Northwest 53.9303 meters, to 497311321
Go Northwest 43.0388 meters, to 497311253
Go Northwest 24.8037 meters, to 1105954942
Go Northwest 54.0722 meters, to 497311324
Go Northwest 40.8898 meters, to 497301858
Go Northwest 39.1027 meters, to 497301862
Go Northwest 24.3598 meters, to 497301866
Go North 28.0476 meters, to 497301871
Go North 75.042 meters, to 497311112
Go North 40.8116 meters, to 497317073
Go North 87.7945 meters, to 1264279502
Go North 6.00418 meters, to 1264279403
Go North 7.24825 meters, to 1264279482
Go Northeast 7.44816 meters, to 1264279493
Go West 41.3381 meters, to 1264279389
Go North 13.1171 meters, to 497191379
Go North 97.3924 meters, to 497191395
Go North 10.5608 meters, to 312402720
End at ID: 312402720
Total distance: 12324.5 meters.
